,W01_001,W01_002,W01_003,W01_004,W01_005,W01_006,W01_007,W01_008,W01_009,W01_010,W01_011,W01_012,W01_013,W01_014,geometry
1656,須賀川,2075,須賀川,須賀川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",40.2,159.5,69,3050,都道府県,1975,愛媛県宇和島市柿原字北平乙234-6,1,POINT (132.591 33.24188889000001)
1657,宮の谷池,2076,須賀川,高串川,アースダム,灌漑，特定(新規)灌漑用水,18,91,18,22,市区町村,-,愛媛県宇和島市高光,4,POINT (132.5670911903899 33.26631200628212)
1658,布喜川調整池,2077,千丈川,流田川,重力式コンクリートダム,"灌漑，特定(新規)灌漑用水,上水道用水",33.7,110,26,197,農林水産省（各地方農政局含む）,1985,愛媛県八幡浜市布喜川甲901,1,POINT (132.4436369985094 33.43010334691188)
1659,八代,2078,千丈川,八代川,アースダム,灌漑，特定(新規)灌漑用水,24.2,93.2,47,26,都道府県,1975,愛媛県八幡浜市八代,4,POINT (132.4237757719663 33.434298233307)
1660,面河第3,2107,仁淀川,仁淀川,重力式コンクリートダム,発電,42,162,70,6218,電力会社・電源開発株式会社,1984,愛媛県上浮穴郡久万高原町大字中津,1,POINT (133.04204567 33.5406972)
1661,面河,2105,仁淀川,割石川,重力式コンクリートダム,"灌漑，特定(新規)灌漑用水,工業用水道用水,発電",73.5,159,190,28300,農林水産省（各地方農政局含む）,1967,愛媛県上浮穴郡久万高原町大字仙野,1,POINT (133.0327778 33.71775)
1662,柳谷,2110,仁淀川,黒川,重力式コンクリートダム,発電,28.5,98.5,19,270,電力会社・電源開発株式会社,1989,愛媛県上浮穴郡久万高原町大字西谷,4,POINT (132.9774646370064 33.52916096483514)
1663,防象池,2190,佐方川,佐方川,アースダム,灌漑，特定(新規)灌漑用水,15.5,68,32,12,その他,1940,愛媛県今治市菊間町大字佐方,4,POINT (132.8949640059115 34.04526692310501)
1664,鹿森,2194,国領川,足谷川,重力式コンクリートダム,"洪水調節，農地防災,工業用水道用水,発電",57.9,108.6,82,1590,都道府県,1962,愛媛県新居浜市立川町葛岩660,1,POINT (133.3099167 33.894)
1665,治良丸池,2195,東川,東川,アースダム,灌漑，特定(新規)灌漑用水,20,67,40,66,土地改良区,1862,愛媛県新居浜市中荻町治良丸,4,POINT (133.2768056 33.91013889)
1666,皇子池,2196,渦井川,渦井川,アースダム,灌漑，特定(新規)灌漑用水,17.6,112,50,75,土地改良区,1951,愛媛県西条市飯岡,4,POINT (133.2393434237883 33.91595775389183)
1667,黒瀬,2197,加茂川,加茂川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,工業用水道用水,発電",61.7,207.7,151,36000,都道府県,1972,愛媛県西条市黒瀬字龍ヶ獄乙157-1,1,POINT (133.1602222 33.86672222)
1668,大谷池,2201,中山川,中山川,アースダム,灌漑，特定(新規)灌漑用水,27.3,212,110,1032,土地改良区,1920,愛媛県西条市小松町新屋敷字大谷,1,POINT (133.09762698 33.88884389)
1669,城ノ谷池,2202,中山川,切川,アースダム,灌漑，特定(新規)灌漑用水,27.4,133,260,287,土地改良区,1953,愛媛県西条市氷見切川,4,POINT (133.12736437 33.88525575)
1670,志河川,2200,中山川,志河川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,48.2,117,64,1300,農林水産省（各地方農政局含む）,2010,愛媛県西条市丹原町字志川,1,POINT (133.0237317803825 33.85156422788477)
1671,西山池,2203,新川,明理川,アースダム,灌漑，特定(新規)灌漑用水,24.2,64,63,95,土地改良区,1955,愛媛県西条市丹原町徳田,4,POINT (133.0315581455118 33.90553479798066)
1672,大明神池,2204,北川,北川,アースダム,灌漑，特定(新規)灌漑用水,25.8,212.4,159,450,土地改良区,1962,愛媛県西条市三芳町大字旦之上,1,POINT (133.02943978 33.95183969)
1673,朝倉,2205,頓田川,黒谷川,アースダム,灌漑，特定(新規)灌漑用水,47,253,531,1400,都道府県,1981,愛媛県西条市黒谷,1,POINT (133.00581409 33.95708271)
1674,玉川,2207,蒼社川,蒼社川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水,工業用水道用水",56,260,187,9900,都道府県,1970,愛媛県今治市玉川町龍岡下カジヤ丁1-16,1,POINT (132.93273095 33.9931811)
1675,犬塚池,2206,蒼社川,小鴨部川,アースダム,灌漑，特定(新規)灌漑用水,18.5,207,184,609,その他,1938,愛媛県今治市玉川町八幡,1,POINT (132.97747692 34.02372222000002)
1676,鹿ノ子池,2208,竜登川,竜登川,アースダム,灌漑，特定(新規)灌漑用水,16,210,136,368,その他,1828,愛媛県今治市清水,1,POINT (132.9953611 34.02025)
1677,新池,2212,天満川,天満川,アースダム,灌漑，特定(新規)灌漑用水,17.2,63,30,88,その他,1877,愛媛県今治市大西町星の浦,4,POINT (132.9020677861584 34.04421182574187)
1678,歌仙,2214,菊間川,霧合川,アースダム,灌漑，特定(新規)灌漑用水,41,120,122,366,都道府県,1973,愛媛県今治市菊間町川上,1,POINT (132.87142399 34.01381037)
1679,高田池,2213,菊間川,高田川,アースダム,灌漑，特定(新規)灌漑用水,22.3,76,62,120,その他,1953,愛媛県今治市菊間町高田,4,POINT (132.84098261 34.01881751000001)
1680,立岩,2216,立岩川,大道谷川,アースダム,灌漑，特定(新規)灌漑用水,48.2,175,367,802,都道府県,1980,愛媛県松山市大字栄之野,1,POINT (132.8728741127376 33.97466551005576)
1681,俵原池,2215,立岩川,萩原川,アースダム,灌漑，特定(新規)灌漑用水,25.5,172,300,1000,その他,1942,愛媛県松山市大字上難波,1,POINT (132.81670322 33.9811398)
1682,吉藤池,2219,久万川,鴨川,アースダム,灌漑，特定(新規)灌漑用水,24.2,100,101,325,土地改良区,1956,愛媛県松山市吉藤,1,POINT (132.7671254877906 33.87136048901513)
1683,佐古,2227,重信川,佐川川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,31,210,63,1110,農林水産省（各地方農政局含む）,2001,愛媛県東温市,1,POINT (132.8750493845123 33.76647959039309)
1684,銚子,2223,重信川,銚子川,ロックフィルダム,灌漑，特定(新規)灌漑用水,47.2,142,311,780,都道府県,1977,愛媛県伊予郡砥部町大字川登,1,POINT (132.79049657 33.69791341)
1685,石手川,2226,重信川,石手川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,上水道用水",87,277.7,423,12800,国土交通省（各地方整備局，北海道開発局含む）,1972,愛媛県松山市宿野町乙58-1,1,POINT (132.8376389 33.87938889000002)
1686,横谷調整池,2224,重信川,横谷川,ロックフィルダム,灌漑，特定(新規)灌漑用水,31,74.4,63,502,農林水産省（各地方農政局含む）,1967,愛媛県松山市湯山,1,POINT (132.8168174224965 33.85906474608247)
1687,逆瀬池,2222,重信川,内川,アースダム,灌漑，特定(新規)灌漑用水,24.9,145,135,500,土地改良区,1927,愛媛県松山市北梅本,1,POINT (132.84750478 33.82861902)
1688,枝朶ノ下池,2221,重信川,内川,アースダム,灌漑，特定(新規)灌漑用水,19.3,172,152,520,土地改良区,1677,愛媛県松山市北梅本,1,POINT (132.85510187 33.82014704)
1689,大谷池,2228,大谷川,大谷川,アースダム,灌漑，特定(新規)灌漑用水,37,190,377,1759,土地改良区,1944,愛媛県伊予市南伊予,1,POINT (132.74304208 33.75484373)
1690,野村,2230,肱川,肱川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水,上水道用水",60,300,254,16000,国土交通省（各地方整備局，北海道開発局含む）,1981,愛媛県西予市野村町野村,1,POINT (132.62926578 33.35925403)
1691,鹿野川（元）,2235,肱川,肱川,重力式コンクリートダム,"洪水調節，農地防災,発電",61,167.9,161,48200,国土交通省（各地方整備局，北海道開発局含む）,1958,愛媛県大洲市肱川町宇和川598-2,1,POINT (132.6853333000001 33.45025)
1692,関地池,2229,肱川,宇和川,アースダム,灌漑，特定(新規)灌漑用水,22.5,155,149,1000,都道府県,1961,愛媛県西予市宇和町東多田,1,POINT (132.5213889 33.43305556)
1693,竜沢寺池,2236,肱川,魚成川,アースダム,灌漑，特定(新規)灌漑用水,27.3,99,54,100,土地改良区,1955,愛媛県西予市城川町魚成,2,POINT (132.7115278 33.35927778)
1694,山鳥坂,2233,肱川,河辺川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",103,282,690,24900,国土交通省（各地方整備局，北海道開発局含む）,-,愛媛県大洲市肱川町山鳥坂地先,4,POINT (132.70025432 33.45685996)
1695,上浦,2237,大三島本川,大三島本川,アースダム,灌漑，特定(新規)灌漑用水,31,161,126,155,都道府県,1978,愛媛県今治市上浦町大字井の口,4,POINT (133.02795078 34.25203647)
1696,別所上池,2239,明日本川,明日本川,アースダム,灌漑，特定(新規)灌漑用水,15,53,20,25,市区町村,1937,愛媛県今治市大三島町宮浦,4,POINT (133.0134196306965 34.24530391284777)
1697,台,2240,台本川,台本川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",42.3,225,92,1790,都道府県,1991,愛媛県今治市大三島町台,1,POINT (133.0123540755336 34.22894992547831)
1698,東蓮寺池,2241,立間川,高畑川,ロックフィルダム,灌漑，特定(新規)灌漑用水,38.1,170,289,963,農林水産省（各地方農政局含む）,1996,愛媛県宇和島市吉田町沖村,1,POINT (132.52127047 33.28728094)
1699,渕ヶ谷池,2242,喜木川,宮内川,アースダム,灌漑，特定(新規)灌漑用水,16,37,9,34,土地改良区,1952,愛媛県八幡浜市保内町宮内,2,POINT (132.39275794 33.50031501999999)
1700,伊方調整池,2243,伊方新川,伊方新川,重力式コンクリートダム,"灌漑，特定(新規)灌漑用水,上水道用水",29.1,108,31,104,農林水産省（各地方農政局含む）,1989,愛媛県西宇和郡伊方町川永田,1,POINT (132.33354878 33.48129581000001)
1701,西ノ谷池,2072,岩松川,中の川,アースダム,灌漑，特定(新規)灌漑用水,15.5,80,30,44,その他,1910,愛媛県宇和島市津島町清満増穂,4,POINT (132.55462707 33.08528865000001)
1702,池田池,2193,国領川,市場川,アースダム,灌漑，特定(新規)灌漑用水,18.5,270.3,147,1210,土地改良区,1862,愛媛県新居浜市船木,1,POINT (133.3374009368877 33.93886842253026)
1703,池ノ谷池,2198,中山川,中山川,アースダム,灌漑，特定(新規)灌漑用水,16,122,72,101,土地改良区,1913,愛媛県西条市小松町石根大字妙口,4,POINT (133.0925567845158 33.88773835927148)
1704,古池,2210,品部川,宅間川,アースダム,灌漑，特定(新規)灌漑用水,18,70,35,25,その他,1870,愛媛県今治市乃万,4,POINT (132.9466558309182 34.08357264877239)
1705,下池,2220,重信川,渋谷川,アースダム,灌漑，特定(新規)灌漑用水,22.5,140,84,70,土地改良区,-,愛媛県東温市松瀬川,4,POINT (132.92075981 33.80895386)
1706,佐川谷池,2225,重信川,左川,アースダム,灌漑，特定(新規)灌漑用水,20,133,93,58,土地改良区,-,愛媛県東温市下林,4,POINT (132.86787805 33.74555802)
1707,田高田上池,2238,竹下川,竹下川,アースダム,灌漑，特定(新規)灌漑用水,17.3,70,35,78,その他,1908,愛媛県今治市上浦町盛,4,POINT (133.0154110048237 34.29043483703425)
1708,新池,2211,山之内川,山之内川,アースダム,灌漑，特定(新規)灌漑用水,20.1,50.5,-9999,31,その他,1877,愛媛県今治市大西町山之内,4,POINT (132.9025364692053 34.03541576622622)
1709,新池,2191,金生川,-,重力式コンクリートダム,工業用水道用水,17.8,110,12,198,市区町村,1975,愛媛県四国中央市上分町松之谷,4,POINT (133.5870032539414 33.98874600818667)
1710,日浦池,2218,粟井川,-,アースダム,灌漑，特定(新規)灌漑用水,16,21,-9999,2,その他,1915,愛媛県松山市小川谷日浦,4,POINT (132.7949713320335 33.9326262827877)
1711,中山川逆調整池,2199,中山川,中山川,重力式コンクリートダム,発電,20.8,-9999,-9999,177,都道府県,1963,愛媛県西条市丹原町千原,4,POINT (132.9810017205421 33.82276323273486)
1712,壷芋池,2231,肱川,黒瀬川,アースダム,灌漑，特定(新規)灌漑用水,15,75,-9999,6,個人,1942,愛媛県西予市城川町嘉喜尾,4,POINT (132.7398648239813 33.38695910152052)
1713,鹿野川（再）,2234,肱川,肱川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",61,167.9,161,48200,国土交通省（各地方整備局，北海道開発局含む）,-,愛媛県大洲市肱川町宇和川地先,1,POINT (132.6853355779478 33.4502503085937)
1714,山の神池,2069,惣川,惣川,アースダム,"灌漑，特定(新規)灌漑用水,上水道用水",17.5,76,35,123,利水組合・用水組合,1963,愛媛県南宇和郡愛南町広見字山の神,4,POINT (132.6321380218748 32.9749766233194)
1715,新池,2209,品部川,品部川,アースダム,灌漑，特定(新規)灌漑用水,16,48,-9999,18,その他,1828,愛媛県今治市神宮字石坂,4,POINT (132.9459185682135 34.04412665904437)
1716,早苗出下池,2192,金生川,山田井川,アースダム,灌漑，特定(新規)灌漑用水,15,65,-9999,75,利水組合・用水組合,1750,愛媛県四国中央市金生町山田井,4,POINT (133.6034570575128 34.02448673927989)
1717,新池,2217,立岩川,儀式川,アースダム,灌漑，特定(新規)灌漑用水,15,50,-9999,10,その他,1866,愛媛県松山市儀式坂本,4,POINT (132.8605035609903 33.9897096116816)
1718,シウチ池,2232,肱川,黒瀬川,アースダム,灌漑，特定(新規)灌漑用水,15,40,-9999,7,利水組合・用水組合,1850,愛媛県西予市城川町嘉喜尾,4,POINT (132.7461813128574 33.39597948748378)
1719,上大道池,2070,惣川,-,アースダム,灌漑，特定(新規)灌漑用水,18.5,61.5,23,35,利水組合・用水組合,-,愛媛県南宇和郡愛南町上大道651,4,POINT (132.6161586359093 32.96825533696334)
1720,宗極池,2124,坂本川,坂本川,アースダム,灌漑，特定(新規)灌漑用水,27.3,113,109,240,土地改良区,1956,香川県東かがわ市引田町南野,1,POINT (134.41997127 34.20206121000001)
1721,川股池,2126,馬宿川,馬宿川,重力式コンクリートダム,灌漑，特定(新規)灌漑用水,26,103,14,272,土地改良区,1962,香川県東かがわ市引田町川股,1,POINT (134.42107469 34.17033760000001)
1722,小路池,2125,馬宿川,馬宿川,アースダム,灌漑，特定(新規)灌漑用水,17.5,101,50,230,都道府県,1937,香川県東かがわ市引田町川股,1,POINT (134.40639604 34.18348246)
1723,千足,2127,馬宿川,千足川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",41.4,197,99,1850,都道府県,1987,香川県東かがわ市川股,1,POINT (134.38980802 34.18841357)
1724,五名（元）,2130,湊川,湊川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",27.5,106,18,611,都道府県,1961,香川県東かがわ市五名,1,POINT (134.2673635139683 34.20072091040824)
1725,大内,2131,与田川,様松川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",26,121.2,25,1000,都道府県,1966,香川県東かがわ市水主,1,POINT (134.2973889 34.22207852000001)
1726,大川,2132,津田川,津田川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",36,124,36,760,都道府県,1963,香川県さぬき市大川町田面字砕石,1,POINT (134.2486127100001 34.23632775)
1727,門入,2133,津田川,栴檀川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",47.3,202.5,109,2900,都道府県,1998,香川県さぬき市寒川町石田東,1,POINT (134.2190714947501 34.24917819168693)
1728,前山,2135,鴨部川,鴨部川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",38.8,181.5,81,2130,都道府県,1974,香川県さぬき市前山,1,POINT (134.17236985 34.22463097999999)
1729,石神池,2136,鴨部川,長尾川,アースダム,灌漑，特定(新規)灌漑用水,21,200,158,790,土地改良区,1963,香川県さぬき市長尾町名,1,POINT (134.1776877579892 34.23812759247523)
1730,花の山池,2137,鴨部川,地蔵川,アースダム,灌漑，特定(新規)灌漑用水,21.5,75,67,200,土地改良区,1979,香川県さぬき市寒川町石田西,4,POINT (134.19825 34.24255556)
1731,二股上池,2139,新川,高岡川,アースダム,灌漑，特定(新規)灌漑用水,16,217,64,606,土地改良区,2002,香川県木田郡三木町鹿庭,2,POINT (134.16410321 34.23326102)
1732,公淵池,2141,新川,春日川,アースダム,灌漑，特定(新規)灌漑用水,27.1,260,60,1793,都道府県,1933,香川県高松市東植田町,1,POINT (134.1040446468501 34.24473149525782)
1733,神内上池,2145,新川,天満川,アースダム,灌漑，特定(新規)灌漑用水,29.7,130,282,750,土地改良区,1916,香川県高松市西植田町,1,POINT (134.06250075 34.22492225)
1734,神内池,2144,新川,天満川,アースダム,灌漑，特定(新規)灌漑用水,15.2,249,123,1160,土地改良区,1969,香川県高松市西植田町,1,POINT (134.07217314 34.23367536)
1735,小川下池,2143,新川,吉田川,アースダム,灌漑，特定(新規)灌漑用水,26.8,156,8,600,都道府県,1973,香川県木田郡三木町大字朝倉,2,POINT (134.1276111 34.22155555999998)
1736,御殿,2150,香東川,香東川,アースダム,上水道用水,17,497,370,524,市区町村,1954,香川県高松市鶴市町,1,POINT (134.0158333 34.33166667)
1737,椛川,2148,香東川,椛川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",88.5,265.5,435,10560,都道府県,-,香川県高松市塩江町安原上東,4,POINT (134.105257336276 34.15389183259637)
1738,内場,2149,香東川,内場川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",50,157.4,85,8175,都道府県,1952,香川県高松市塩江町上西,1,POINT (134.07454358 34.16861267)
1739,田渡池,2147,香東川,裏山川,アースダム,灌漑，特定(新規)灌漑用水,18.4,132,51,246,土地改良区,1928,香川県高松市香川町川東上,4,POINT (134.03674135 34.21490394)
1740,鞍谷池,2154,青海川,明神川,アースダム,灌漑，特定(新規)灌漑用水,15,100,53,110,土地改良区,1981,香川県坂出市高屋町,1,POINT (133.92204117 34.32883410999999)
1741,長柄（再）,2155,綾川,綾川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",42,186,67,9750,都道府県,-,香川県綾歌郡綾川町東分,1,POINT (133.97673808 34.19607542)
1742,田万,2157,綾川,田万川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",49,180,84,1600,都道府県,1989,香川県綾歌郡綾川町枌所東,1,POINT (134.0025949017357 34.19026940826956)
1743,長柄（元）,2156,綾川,綾川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",30,124,28,4210,都道府県,1952,香川県綾歌郡綾川町東分,1,POINT (133.97673808 34.19607542)
1744,府中,2158,綾川,綾川,重力式コンクリートダム,工業用水道用水,27.5,131,39,8500,都道府県,1966,香川県坂出市府中町,1,POINT (133.92123261 34.2846555)
1745,永富池,2159,綾川,貞重川,アースダム,灌漑，特定(新規)灌漑用水,23.2,92,-9999,356,土地改良区,1972,香川県綾歌郡綾川町枌所東,4,POINT (133.9980897506192 34.18005038269282)
1746,仁池,2160,大束川,中大束川,アースダム,灌漑，特定(新規)灌漑用水,16,328,112,1502,土地改良区,1967,香川県丸亀市飯山町上法軍寺,1,POINT (133.8719945137293 34.23888177297111)
1747,備中地池,2161,土器川,備中地川,アースダム,灌漑，特定(新規)灌漑用水,21.6,103,60,321,都道府県,1961,香川県仲多度郡まんのう町造田,1,POINT (133.93795953 34.16773246000001)
1748,亀越池,2162,土器川,大谷川,アースダム,灌漑，特定(新規)灌漑用水,19,106,38,958,土地改良区,1993,香川県仲多度郡まんのう町炭所東,1,POINT (133.9052222 34.17388889)
1749,満濃池（再）,2164,金倉川,金倉川,アースダム,灌漑，特定(新規)灌漑用水,32,155.8,218,15400,土地改良区,1959,香川県仲多度郡まんのう町神野,1,POINT (133.86580101 34.16487605)
1750,木槲池（元）,2165,金倉川,金倉川,アースダム,灌漑，特定(新規)灌漑用水,26.7,160,7,84,その他,1944,香川県仲多度郡まんのう町七箇,2,POINT (133.8746676631284 34.1447381298023)
1751,岩瀬池,2167,高瀬川,高瀬川,アースダム,灌漑，特定(新規)灌漑用水,17.6,152,97,1016,土地改良区,1967,香川県三豊市高瀬町上麻,1,POINT (133.7682222 34.16497222000002)
1752,野口,2169,財田川,財田川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",35,123,36,1150,都道府県,1966,香川県仲多度郡まんのう町塩入,1,POINT (133.879689761271 34.13663533930828)
1753,多治川,2168,財田川,帰来川,重力式コンクリートダム,洪水調節，農地防災,21.7,48,9,200,都道府県,1957,香川県仲多度郡まんのう町山脇,2,POINT (133.83301991 34.11549845)
1754,戸川,2171,財田川,谷道川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",19.6,177,180,211,都道府県,1957,香川県三豊市財田町財田上,2,POINT (133.7974880148568 34.10940659310908)
1755,逆瀬池,2172,財田川,河内川,アースダム,灌漑，特定(新規)灌漑用水,22.2,78,95,536,都道府県,1962,香川県三豊市山本町河内,1,POINT (133.7405 34.08227777999998)
1756,五郷,2173,柞田川,前田川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水",50.5,132,81,2500,都道府県,1964,香川県観音寺市大野原町有木,1,POINT (133.69570344 34.04311696)
1757,井関池,2176,柞田川,柞田川,アースダム,灌漑，特定(新規)灌漑用水,16,350,207,540,土地改良区,1982,香川県観音寺市大野原町井関,1,POINT (133.6861672220972 34.06603657161971)
1758,豊稔池（元）,2174,柞田川,田野口川,マルティプルアーチダム,灌漑，特定(新規)灌漑用水,32.3,158.4,21,1590,土地改良区,1930,香川県観音寺市大野原町五郷,1,POINT (133.68455861 34.04172378)
1759,豊稔池（再）,2175,柞田川,田野口川,マルティプルアーチダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",30.4,128,40,1643,都道府県,1994,香川県観音寺市大野原町五郷,1,POINT (133.68449613 34.04182791)
1760,大谷池,2177,柞田川,井関川,アースダム,灌漑，特定(新規)灌漑用水,16.9,304,306,1000,土地改良区,1959,香川県観音寺市大野原町丸井,1,POINT (133.6866088283383 34.07695218231527)
1761,粟地,2180,安田大川,安田大川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",46,290,136,780,都道府県,1980,香川県小豆郡小豆島町安田,1,POINT (134.3218311866156 34.4915683595698)
1762,内海（再）,2181,別当川,別当川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",43,423,165,1060,都道府県,2013,香川県小豆郡小豆島町神懸通地先,1,POINT (134.3008720700767 34.49508354888319)
1763,内海（元）,2182,別当川,別当川,重力式コンクリートダム・フィルダム複合ダム,"洪水調節，農地防災,上水道用水",21,143,30,140,都道府県,1958,香川県小豆郡小豆島町神懸通,1,POINT (134.3008848648973 34.49508624290576)
1764,蛙子池,2186,伝法川,伝法川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",15.3,420,33,634,土地改良区,1960,香川県小豆郡土庄町肥土山字蛙子広谷,1,POINT (134.2536383879833 34.50942434021911)
1765,中山池,2183,伝法川,伝法川,アースダム,灌漑，特定(新規)灌漑用水,17,144,118,72,土地改良区,1979,香川県小豆郡小豆島町中山,1,POINT (134.2705833 34.50144444)
1766,殿川,2185,伝法川,殿川,重力式コンクリートダム,"洪水調節，農地防災,上水道用水",35.6,192,66,690,都道府県,1974,香川県小豆郡小豆島町中山,1,POINT (134.24782852 34.50197936000001)
1767,河内池,2188,吉田川,吉田川,アースダム,灌漑，特定(新規)灌漑用水,17.8,187,59,230,土地改良区,1909,香川県観音寺市豊浜町和田,2,POINT (133.64774135 34.0537365)
1768,吉田,2187,吉田川,吉田川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",74.5,218,317,2360,都道府県,1996,香川県小豆郡小豆島町吉田,1,POINT (134.3340556811877 34.55276418109582)
1769,弥勒池,2134,津田川,津田川,アースダム,灌漑，特定(新規)灌漑用水,16.8,96,69,236,土地改良区,1975,香川県さぬき市大川町富田中,1,POINT (134.2443639182897 34.25588419126736)
1770,琴谷池,2152,本津川,本津川,アースダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",19.3,173,92,65,国土交通省（各地方整備局，北海道開発局含む）,1987,香川県高松市香南町由佐,4,POINT (134.01074685 34.2170344)
1771,五名（再）,2128,湊川,湊川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",56,242,180,6750,都道府県,-,香川県東かがわ市入野山,1,POINT (134.2673460030266 34.20072815182585)
1772,木槲池（再）,2166,金倉川,金倉川,アースダム,灌漑，特定(新規)灌漑用水,27.1,298,348,449,都道府県,1991,香川県仲多度郡まんのう町七箇,2,POINT (133.8746730139312 34.14475559812816)
1773,鵜生池,2151,本津川,本津川,アースダム,灌漑，特定(新規)灌漑用水,15.1,236,-9999,337,都道府県,1976,香川県綾歌郡綾川町大字畑田字茶円原3355,1,POINT (133.9894031378726 34.26052181785082)
1774,粟井,2178,柞田川,粟井川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,上水道用水",42,135,58,590,都道府県,2001,香川県観音寺市粟井町,1,POINT (133.7280898780842 34.0656202481599)
1775,遊水林,2146,与田川,西谷川,重力式コンクリートダム,"洪水調節，農地防災,灌漑，特定(新規)灌漑用水",20.8,44.5,5,114,都道府県,1943,香川県高松市塩江町安原下高橋,4,POINT (134.0312997588937 34.16226562333711)
1776,新池,2138,新川,新川,アースダム,灌漑，特定(新規)灌漑用水,15.1,710,530,1200,都道府県,1970,香川県高松市香川町川内原,1,POINT (134.0427701198386 34.24128143947295)
1777,松尾池,2142,新川,春日川,アースダム,灌漑，特定(新規)灌漑用水,18.7,423,-9999,1322,都道府県,1971,香川県高松市西植田町松尾6837-1,1,POINT (134.085298786143 34.23762807151321)
1778,城池,2140,新川,春日川,アースダム,灌漑，特定(新規)灌漑用水,16.5,190,-9999,720,都道府県,1975,香川県高松市東植田町1532,1,POINT (134.1062958952553 34.23641421155973)
1779,香川用水調整池,2170,財田川,大池川,アースダム,上水道用水,25,240,311,3070,水資源機構（旧水資源開発公団）,2008,香川県三豊市山本町神田,4,POINT (133.7704487181849 34.13471995951836)
1780,三五郎池,2179,安田大川,古川,アースダム,"灌漑，特定(新規)灌漑用水,上水道用水",18,150,100,85,,1924,香川県小豆郡小豆島町安田,4,POINT (134.3243018953729 34.49624213503685)
1781,新中山池,2184,伝法川,殿川,アースダム,灌漑，特定(新規)灌漑用水,26,182,147,600,都道府県,1961,香川県小豆郡小豆島町中山,1,POINT (134.2658796068606 34.50173373293127)
1782,奥谷上池,2153,本津川,西谷川,アースダム,灌漑，特定(新規)灌漑用水,23.6,172,338,352,,-,香川県高松市,4,POINT (134.0254906002269 34.22336467485223)
1783,満濃池（元）,2163,金倉川,金倉川,アースダム,灌漑，特定(新規)灌漑用水,22,-9999,-9999,5000,土地改良区,821,香川県仲多度郡まんのう町神野,1,POINT (133.865800774098 34.16488108577401)
1784,藤九郎池,2129,湊川,清谷川,アースダム,灌漑，特定(新規)灌漑用水,16,38,13,70,,17XX,香川県東かがわ市,5,POINT (134.3484450818721 34.20184639649342)
1785,池田,2045,吉野川,吉野川,重力式コンクリートダム,"洪水調節，農地防災,不特定用水，河川維持用水,灌漑，特定(新規)灌漑用水,上水道用水,工業用水道用水,発電",24,247,52,12650,水資源機構（旧水資源開発公団）,1974,徳島県三好市池田町西山,1,POINT (133.8061645 34.03361421)
1786,名頃,2041,吉野川,祖谷川,重力式コンクリートダム,発電,37,119.4,45,1367,電力会社・電源開発株式会社,1961,徳島県三好市東祖谷菅生,1,POINT (134.02903821 33.85087694)
1787,三縄,2055,吉野川,祖谷川,重力式コンクリートダム,発電,17,80.8,21,299,電力会社・電源開発株式会社,1959,徳島県三好市池田町松尾,2,POINT (133.79121431 33.9562635)
